id,timestamp,source,event_type,severity,status,raw_message
251,2026-08-20 03:12:00,203.0.113.7,GET /admin,info,200,GET /admin — access granted
252,2026-08-20 03:16:00,192.168.1.22,GET /admin,info,200,GET /admin — access granted
253,2026-08-20 03:20:00,192.168.1.14,GET /admin,info,200,GET /admin — access granted
1,2026-08-20 08:00:29,192.168.1.14,GET /api/products,info,200,GET /api/products — status 200
2,2026-08-20 08:01:15,192.168.1.22,GET /api/orders,warn,404,GET /api/orders — status 404
3,2026-08-20 08:01:43,203.0.113.7,GET /api/orders,info,200,GET /api/orders — status 200
4,2026-08-20 08:03:13,10.0.0.55,GET /api/users,info,200,GET /api/users — status 200
5,2026-08-20 08:03:31,192.168.1.14,POST /api/cart,info,200,POST /api/cart — status 200
6,2026-08-20 08:04:15,10.0.0.61,GET /api/users,info,200,GET /api/users — status 200
7,2026-08-20 08:05:41,192.168.1.22,GET /api/orders,info,200,GET /api/orders — status 200
8,2026-08-20 08:06:24,10.0.0.55,GET /api/products,info,200,GET /api/products — status 200
9,2026-08-20 08:06:39,203.0.113.19,GET /api/orders,warn,404,GET /api/orders — status 404
10,2026-08-20 08:07:48,192.168.1.31,GET /api/products,info,200,GET /api/products — status 200
11,2026-08-20 08:08:22,192.168.1.22,PUT /api/profile,info,200,PUT /api/profile — status 200
12,2026-08-20 08:08:50,192.168.1.14,GET /api/orders,info,200,GET /api/orders — status 200
13,2026-08-20 08:09:17,192.168.1.31,PUT /api/profile,info,200,PUT /api/profile — status 200
14,2026-08-20 08:10:05,203.0.113.19,GET /api/users,info,200,GET /api/users — status 200
15,2026-08-20 08:11:18,10.0.0.61,GET /api/orders,info,200,GET /api/orders — status 200
16,2026-08-20 08:12:21,192.168.1.14,GET /api/products,info,200,GET /api/products — status 200
17,2026-08-20 08:13:22,10.0.0.61,POST /api/cart,info,200,POST /api/cart — status 200
18,2026-08-20 08:13:45,192.168.1.14,POST /api/cart,info,200,POST /api/cart — status 200
19,2026-08-20 08:14:37,192.168.1.14,POST /api/cart,info,200,POST /api/cart — status 200
20,2026-08-20 08:15:04,10.0.0.55,GET /api/products,info,200,GET /api/products — status 200
21,2026-08-20 08:16:17,203.0.113.7,PUT /api/profile,info,200,PUT /api/profile — status 200
22,2026-08-20 08:16:52,192.168.1.31,PUT /api/profile,info,200,PUT /api/profile — status 200
23,2026-08-20 08:17:33,203.0.113.7,GET /api/products,info,200,GET /api/products — status 200
24,2026-08-20 08:17:57,10.0.0.61,GET /api/orders,warn,404,GET /api/orders — status 404
25,2026-08-20 08:19:20,203.0.113.7,POST /api/cart,info,200,POST /api/cart — status 200
26,2026-08-20 08:19:55,10.0.0.55,GET /api/orders,info,200,GET /api/orders — status 200
